,Trapnest,Date,Nest_ID,Site,Subsite,Treatment,Cavity_number,Straw_ID,Filled_length_mm,Straw_length_mm,Cavity_ID,Status,Occupant,Good_days,Bee_choice,New_nests_os,New_nests_meg,New_nest_sum,Osmia_ps_prior,Osmia_no_ps_prior,Meg_ps_prior,Meg_no_ps_prior,Number_of_cells,Cumulative_par,Prop_cells_par,Par_in_trapnest,Day_of_year
18171,trapnest_5,2023-06-12,5_9a,BP,B,Mid,9,a,71,146,5_9,no change,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17781,trapnest_5,2023-06-12,5_10a,BP,B,Mid,10,a,NA,NA,5_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17804,trapnest_5,2023-06-12,5_11a,BP,B,Mid,11,a,85.18,144.23,5_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17827,trapnest_5,2023-06-12,5_12a,BP,B,Mid,12,a,17,144,5_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17873,trapnest_5,2023-06-12,5_14a,BP,B,Mid,14,a,NA,NA,5_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17896,trapnest_5,2023-06-12,5_15a,BP,B,Mid,15,a,NA,NA,5_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17919,trapnest_5,2023-06-12,5_16a,BP,B,Mid,16,a,103.9,142.31,5_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17964,trapnest_5,2023-06-12,5_18a,BP,B,Mid,18,a,24.8,143.69,5_18,no change,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17850,trapnest_5,2023-06-12,5_13b,BP,B,Mid,13,b,NA,NA,5_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17942,trapnest_5,2023-06-12,5_17b,BP,B,Mid,17,b,NA,NA,5_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,163
17988,trapnest_5,2023-06-14,5_1a,BP,B,Mid,1,a,NA,NA,5_1,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18011,trapnest_5,2023-06-14,5_2a,BP,B,Mid,2,a,NA,NA,5_2,pseudo,osmia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18034,trapnest_5,2023-06-14,5_3a,BP,B,Mid,3,a,NA,NA,5_3,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18057,trapnest_5,2023-06-14,5_4a,BP,B,Mid,4,a,NA,NA,5_4,pseudo,osmia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18080,trapnest_5,2023-06-14,5_5a,BP,B,Mid,5,a,NA,NA,5_5,pseudo,osmia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18103,trapnest_5,2023-06-14,5_6a,BP,B,Mid,6,a,NA,NA,5_6,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18126,trapnest_5,2023-06-14,5_7a,BP,B,Mid,7,a,NA,NA,5_7,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18149,trapnest_5,2023-06-14,5_8a,BP,B,Mid,8,a,NA,NA,5_8,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
18172,trapnest_5,2023-06-14,5_9a,BP,B,Mid,9,a,71,146,5_9,no change,osmia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17782,trapnest_5,2023-06-14,5_10a,BP,B,Mid,10,a,NA,NA,5_10,pseudo,osmia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17805,trapnest_5,2023-06-14,5_11a,BP,B,Mid,11,a,85.18,144.23,5_11,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17828,trapnest_5,2023-06-14,5_12a,BP,B,Mid,12,a,17,144,5_12,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17874,trapnest_5,2023-06-14,5_14a,BP,B,Mid,14,a,NA,NA,5_14,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17897,trapnest_5,2023-06-14,5_15a,BP,B,Mid,15,a,NA,NA,5_15,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17920,trapnest_5,2023-06-14,5_16a,BP,B,Mid,16,a,103.9,142.31,5_16,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17965,trapnest_5,2023-06-14,5_18a,BP,B,Mid,18,a,24.8,143.69,5_18,no change,osmia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17851,trapnest_5,2023-06-14,5_13b,BP,B,Mid,13,b,NA,NA,5_13,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17943,trapnest_5,2023-06-14,5_17b,BP,B,Mid,17,b,NA,NA,5_17,empty,none,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,165
17989,trapnest_5,2023-06-16,5_1a,BP,B,Mid,1,a,NA,NA,5_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18012,trapnest_5,2023-06-16,5_2a,BP,B,Mid,2,a,NA,NA,5_2,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18035,trapnest_5,2023-06-16,5_3a,BP,B,Mid,3,a,NA,NA,5_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18058,trapnest_5,2023-06-16,5_4a,BP,B,Mid,4,a,NA,NA,5_4,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18081,trapnest_5,2023-06-16,5_5a,BP,B,Mid,5,a,NA,NA,5_5,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18104,trapnest_5,2023-06-16,5_6a,BP,B,Mid,6,a,NA,NA,5_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18127,trapnest_5,2023-06-16,5_7a,BP,B,Mid,7,a,NA,NA,5_7,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18150,trapnest_5,2023-06-16,5_8a,BP,B,Mid,8,a,NA,NA,5_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
18173,trapnest_5,2023-06-16,5_9a,BP,B,Mid,9,a,71,146,5_9,no change,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17783,trapnest_5,2023-06-16,5_10a,BP,B,Mid,10,a,NA,NA,5_10,pseudo,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17806,trapnest_5,2023-06-16,5_11a,BP,B,Mid,11,a,85.18,144.23,5_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17829,trapnest_5,2023-06-16,5_12a,BP,B,Mid,12,a,17,144,5_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17875,trapnest_5,2023-06-16,5_14a,BP,B,Mid,14,a,NA,NA,5_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17898,trapnest_5,2023-06-16,5_15a,BP,B,Mid,15,a,NA,NA,5_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17921,trapnest_5,2023-06-16,5_16a,BP,B,Mid,16,a,103.9,142.31,5_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17966,trapnest_5,2023-06-16,5_18a,BP,B,Mid,18,a,24.8,143.69,5_18,no change,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17852,trapnest_5,2023-06-16,5_13b,BP,B,Mid,13,b,NA,NA,5_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17944,trapnest_5,2023-06-16,5_17b,BP,B,Mid,17,b,NA,NA,5_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,167
17990,trapnest_5,2023-06-20,5_1a,BP,B,Mid,1,a,NA,NA,5_1,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18013,trapnest_5,2023-06-20,5_2a,BP,B,Mid,2,a,NA,NA,5_2,pseudo,osmia,3,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18036,trapnest_5,2023-06-20,5_3a,BP,B,Mid,3,a,NA,NA,5_3,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18059,trapnest_5,2023-06-20,5_4a,BP,B,Mid,4,a,NA,NA,5_4,pseudo,osmia,3,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18082,trapnest_5,2023-06-20,5_5a,BP,B,Mid,5,a,NA,NA,5_5,pseudo,osmia,3,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18105,trapnest_5,2023-06-20,5_6a,BP,B,Mid,6,a,NA,NA,5_6,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18128,trapnest_5,2023-06-20,5_7a,BP,B,Mid,7,a,NA,NA,5_7,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18151,trapnest_5,2023-06-20,5_8a,BP,B,Mid,8,a,NA,NA,5_8,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
18174,trapnest_5,2023-06-20,5_9a,BP,B,Mid,9,a,71,146,5_9,no change,osmia,3,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17784,trapnest_5,2023-06-20,5_10a,BP,B,Mid,10,a,NA,NA,5_10,pseudo,osmia,3,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17807,trapnest_5,2023-06-20,5_11a,BP,B,Mid,11,a,85.18,144.23,5_11,6 cells,megachile,3,1,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17830,trapnest_5,2023-06-20,5_12a,BP,B,Mid,12,a,17,144,5_12,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17876,trapnest_5,2023-06-20,5_14a,BP,B,Mid,14,a,NA,NA,5_14,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17899,trapnest_5,2023-06-20,5_15a,BP,B,Mid,15,a,NA,NA,5_15,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17922,trapnest_5,2023-06-20,5_16a,BP,B,Mid,16,a,103.9,142.31,5_16,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17967,trapnest_5,2023-06-20,5_18a,BP,B,Mid,18,a,24.8,143.69,5_18,no change,osmia,3,NA,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17853,trapnest_5,2023-06-20,5_13b,BP,B,Mid,13,b,NA,NA,5_13,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17945,trapnest_5,2023-06-20,5_17b,BP,B,Mid,17,b,NA,NA,5_17,empty,none,3,0,NA,1,1,NA,NA,0,0,NA,NA,NA,0,171
17991,trapnest_5,2023-06-23,5_1a,BP,B,Mid,1,a,NA,NA,5_1,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18014,trapnest_5,2023-06-23,5_2a,BP,B,Mid,2,a,NA,NA,5_2,pseudo,osmia,3,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18037,trapnest_5,2023-06-23,5_3a,BP,B,Mid,3,a,NA,NA,5_3,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18060,trapnest_5,2023-06-23,5_4a,BP,B,Mid,4,a,NA,NA,5_4,pseudo,osmia,3,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18083,trapnest_5,2023-06-23,5_5a,BP,B,Mid,5,a,NA,NA,5_5,pseudo,osmia,3,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18106,trapnest_5,2023-06-23,5_6a,BP,B,Mid,6,a,NA,NA,5_6,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18129,trapnest_5,2023-06-23,5_7a,BP,B,Mid,7,a,NA,NA,5_7,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18152,trapnest_5,2023-06-23,5_8a,BP,B,Mid,8,a,NA,NA,5_8,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
18175,trapnest_5,2023-06-23,5_9a,BP,B,Mid,9,a,71,146,5_9,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17785,trapnest_5,2023-06-23,5_10a,BP,B,Mid,10,a,NA,NA,5_10,pseudo,osmia,3,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17808,trapnest_5,2023-06-23,5_11a,BP,B,Mid,11,a,85.18,144.23,5_11,no change,megachile,3,NA,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17831,trapnest_5,2023-06-23,5_12a,BP,B,Mid,12,a,17,144,5_12,1 cell,megachile,3,1,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17877,trapnest_5,2023-06-23,5_14a,BP,B,Mid,14,a,NA,NA,5_14,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17900,trapnest_5,2023-06-23,5_15a,BP,B,Mid,15,a,NA,NA,5_15,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17923,trapnest_5,2023-06-23,5_16a,BP,B,Mid,16,a,103.9,142.31,5_16,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17968,trapnest_5,2023-06-23,5_18a,BP,B,Mid,18,a,24.8,143.69,5_18,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17854,trapnest_5,2023-06-23,5_13b,BP,B,Mid,13,b,NA,NA,5_13,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17946,trapnest_5,2023-06-23,5_17b,BP,B,Mid,17,b,NA,NA,5_17,empty,none,3,0,NA,1,1,NA,NA,1,1,NA,NA,NA,0,174
17992,trapnest_5,2023-06-29,5_1a,BP,B,Mid,1,a,NA,NA,5_1,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18015,trapnest_5,2023-06-29,5_2a,BP,B,Mid,2,a,NA,NA,5_2,pseudo,osmia,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18038,trapnest_5,2023-06-29,5_3a,BP,B,Mid,3,a,NA,NA,5_3,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18061,trapnest_5,2023-06-29,5_4a,BP,B,Mid,4,a,NA,NA,5_4,pseudo,osmia,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18084,trapnest_5,2023-06-29,5_5a,BP,B,Mid,5,a,NA,NA,5_5,pseudo,osmia,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18107,trapnest_5,2023-06-29,5_6a,BP,B,Mid,6,a,NA,NA,5_6,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18130,trapnest_5,2023-06-29,5_7a,BP,B,Mid,7,a,NA,NA,5_7,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18153,trapnest_5,2023-06-29,5_8a,BP,B,Mid,8,a,NA,NA,5_8,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17786,trapnest_5,2023-06-29,5_10a,BP,B,Mid,10,a,NA,NA,5_10,pseudo,osmia,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17809,trapnest_5,2023-06-29,5_11a,BP,B,Mid,11,a,85.18,144.23,5_11,1 cell,megachile,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17832,trapnest_5,2023-06-29,5_12a,BP,B,Mid,12,a,17,144,5_12,no change,megachile,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17878,trapnest_5,2023-06-29,5_14a,BP,B,Mid,14,a,NA,NA,5_14,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17901,trapnest_5,2023-06-29,5_15a,BP,B,Mid,15,a,NA,NA,5_15,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17924,trapnest_5,2023-06-29,5_16a,BP,B,Mid,16,a,103.9,142.31,5_16,9 cells,megachile,1,1,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18176,trapnest_5,2023-06-29,5_9b,BP,B,Mid,9,b,NA,NA,5_9,pseudo,osmia,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17855,trapnest_5,2023-06-29,5_13b,BP,B,Mid,13,b,NA,NA,5_13,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17947,trapnest_5,2023-06-29,5_17b,BP,B,Mid,17,b,NA,NA,5_17,empty,none,1,0,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
17969,trapnest_5,2023-06-29,5_18b,BP,B,Mid,18,b,NA,NA,5_18,pseudo,osmia,1,NA,NA,1,1,NA,NA,2,2,NA,NA,NA,0,180
18285,trapnest_50,2023-07-03,50_1a,BP,Q,Mid,1,a,NA,NA,50_1,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18300,trapnest_50,2023-07-03,50_2a,BP,Q,Mid,2,a,NA,NA,50_2,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18313,trapnest_50,2023-07-03,50_3a,BP,Q,Mid,3,a,NA,NA,50_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18324,trapnest_50,2023-07-03,50_4a,BP,Q,Mid,4,a,NA,NA,50_4,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18337,trapnest_50,2023-07-03,50_5a,BP,Q,Mid,5,a,NA,NA,50_5,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18352,trapnest_50,2023-07-03,50_6a,BP,Q,Mid,6,a,NA,NA,50_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18365,trapnest_50,2023-07-03,50_7a,BP,Q,Mid,7,a,NA,NA,50_7,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18380,trapnest_50,2023-07-03,50_8a,BP,Q,Mid,8,a,NA,NA,50_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18389,trapnest_50,2023-07-03,50_9a,BP,Q,Mid,9,a,NA,NA,50_9,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18177,trapnest_50,2023-07-03,50_10a,BP,Q,Mid,10,a,14.56,145.01,50_10,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18192,trapnest_50,2023-07-03,50_11a,BP,Q,Mid,11,a,NA,NA,50_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18207,trapnest_50,2023-07-03,50_12a,BP,Q,Mid,12,a,15,143.4,50_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18221,trapnest_50,2023-07-03,50_13a,BP,Q,Mid,13,a,NA,NA,50_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18236,trapnest_50,2023-07-03,50_14a,BP,Q,Mid,14,a,NA,NA,50_14,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18251,trapnest_50,2023-07-03,50_15a,BP,Q,Mid,15,a,NA,NA,50_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18263,trapnest_50,2023-07-03,50_16a,BP,Q,Mid,16,a,NA,NA,50_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18267,trapnest_50,2023-07-03,50_17a,BP,Q,Mid,17,a,NA,NA,50_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18279,trapnest_50,2023-07-03,50_18a,BP,Q,Mid,18,a,NA,NA,50_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,184
18286,trapnest_50,2023-07-04,50_1a,BP,Q,Mid,1,a,NA,NA,50_1,pseudo,megachile,1,NA,1,1,2,0,0,6,0,NA,NA,NA,0,185
18301,trapnest_50,2023-07-04,50_2a,BP,Q,Mid,2,a,NA,NA,50_2,pseudo,megachile,1,NA,1,1,2,0,0,6,0,NA,NA,NA,0,185
18314,trapnest_50,2023-07-04,50_3a,BP,Q,Mid,3,a,NA,NA,50_3,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18338,trapnest_50,2023-07-04,50_5a,BP,Q,Mid,5,a,NA,NA,50_5,pseudo,megachile,1,NA,1,1,2,0,0,6,0,NA,NA,NA,0,185
18353,trapnest_50,2023-07-04,50_6a,BP,Q,Mid,6,a,NA,NA,50_6,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18366,trapnest_50,2023-07-04,50_7a,BP,Q,Mid,7,a,NA,NA,50_7,pseudo,megachile,1,NA,1,1,2,0,0,6,0,NA,NA,NA,0,185
18381,trapnest_50,2023-07-04,50_8a,BP,Q,Mid,8,a,NA,NA,50_8,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18390,trapnest_50,2023-07-04,50_9a,BP,Q,Mid,9,a,NA,NA,50_9,pseudo,megachile,1,NA,1,1,2,0,0,6,0,NA,NA,NA,0,185
18178,trapnest_50,2023-07-04,50_10a,BP,Q,Mid,10,a,14.56,145.01,50_10,1 cell,megachile,1,1,1,1,2,0,0,6,0,NA,NA,NA,0,185
18193,trapnest_50,2023-07-04,50_11a,BP,Q,Mid,11,a,NA,NA,50_11,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18222,trapnest_50,2023-07-04,50_13a,BP,Q,Mid,13,a,NA,NA,50_13,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18237,trapnest_50,2023-07-04,50_14a,BP,Q,Mid,14,a,NA,NA,50_14,pseudo,megachile,1,NA,1,1,2,0,0,6,0,NA,NA,NA,0,185
18252,trapnest_50,2023-07-04,50_15a,BP,Q,Mid,15,a,NA,NA,50_15,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18268,trapnest_50,2023-07-04,50_17a,BP,Q,Mid,17,a,NA,NA,50_17,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18280,trapnest_50,2023-07-04,50_18a,BP,Q,Mid,18,a,NA,NA,50_18,empty,none,1,0,1,1,2,0,0,6,0,NA,NA,NA,0,185
18287,trapnest_50,2023-07-07,50_1a,BP,Q,Mid,1,a,NA,NA,50_1,pseudo,megachile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18339,trapnest_50,2023-07-07,50_5a,BP,Q,Mid,5,a,NA,NA,50_5,pseudo,megachile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18354,trapnest_50,2023-07-07,50_6a,BP,Q,Mid,6,a,NA,NA,50_6,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18367,trapnest_50,2023-07-07,50_7a,BP,Q,Mid,7,a,NA,NA,50_7,pseudo,megachile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18382,trapnest_50,2023-07-07,50_8a,BP,Q,Mid,8,a,NA,NA,50_8,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18391,trapnest_50,2023-07-07,50_9a,BP,Q,Mid,9,a,NA,NA,50_9,pseudo,megachile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18179,trapnest_50,2023-07-07,50_10a,BP,Q,Mid,10,a,14.56,145.01,50_10,no change,megachile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18194,trapnest_50,2023-07-07,50_11a,BP,Q,Mid,11,a,NA,NA,50_11,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18208,trapnest_50,2023-07-07,50_12a,BP,Q,Mid,12,a,15,143.4,50_12,no change,osmia,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18223,trapnest_50,2023-07-07,50_13a,BP,Q,Mid,13,a,NA,NA,50_13,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18238,trapnest_50,2023-07-07,50_14a,BP,Q,Mid,14,a,NA,NA,50_14,pseudo,megachile,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18253,trapnest_50,2023-07-07,50_15a,BP,Q,Mid,15,a,NA,NA,50_15,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18269,trapnest_50,2023-07-07,50_17a,BP,Q,Mid,17,a,NA,NA,50_17,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18302,trapnest_50,2023-07-07,50_2b,BP,Q,Mid,2,b,NA,NA,50_2,empty,none,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
18288,trapnest_50,2023-07-10,50_1a,BP,Q,Mid,1,a,NA,NA,50_1,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18340,trapnest_50,2023-07-10,50_5a,BP,Q,Mid,5,a,NA,NA,50_5,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18368,trapnest_50,2023-07-10,50_7a,BP,Q,Mid,7,a,NA,NA,50_7,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18392,trapnest_50,2023-07-10,50_9a,BP,Q,Mid,9,a,NA,NA,50_9,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18180,trapnest_50,2023-07-10,50_10a,BP,Q,Mid,10,a,14.56,145.01,50_10,no change,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18195,trapnest_50,2023-07-10,50_11a,BP,Q,Mid,11,a,NA,NA,50_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18209,trapnest_50,2023-07-10,50_12a,BP,Q,Mid,12,a,15,143.4,50_12,no change,osmia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18224,trapnest_50,2023-07-10,50_13a,BP,Q,Mid,13,a,NA,NA,50_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
18239,trapnest_50,2023-07-10,50_14a,BP,Q,Mid,14,a,NA,NA,50_14,pseudo,megachile,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,191
