,Trapnest,Date,Nest_ID,Site,Subsite,Treatment,Cavity_number,Straw_ID,Filled_length_mm,Straw_length_mm,Cavity_ID,Status,Occupant,Good_days,Bee_choice,New_nests_os,New_nests_meg,New_nest_sum,Osmia_ps_prior,Osmia_no_ps_prior,Meg_ps_prior,Meg_no_ps_prior,Number_of_cells,Cumulative_par,Prop_cells_par,Par_in_trapnest,Day_of_year
53,trapnest_1,2023-05-21,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
76,trapnest_1,2023-05-21,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
99,trapnest_1,2023-05-21,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
122,trapnest_1,2023-05-21,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
145,trapnest_1,2023-05-21,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
168,trapnest_1,2023-05-21,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
191,trapnest_1,2023-05-21,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,141
215,trapnest_1,2023-05-22,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
238,trapnest_1,2023-05-22,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
261,trapnest_1,2023-05-22,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
284,trapnest_1,2023-05-22,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
307,trapnest_1,2023-05-22,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
330,trapnest_1,2023-05-22,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
353,trapnest_1,2023-05-22,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
376,trapnest_1,2023-05-22,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
399,trapnest_1,2023-05-22,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
8,trapnest_1,2023-05-22,1_10a,BP,A,Low,10,a,NA,NA,1_10,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
31,trapnest_1,2023-05-22,1_11a,BP,A,Low,11,a,NA,NA,1_11,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
54,trapnest_1,2023-05-22,1_12a,BP,A,Low,12,a,NA,NA,1_12,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
77,trapnest_1,2023-05-22,1_13a,BP,A,Low,13,a,NA,NA,1_13,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
100,trapnest_1,2023-05-22,1_14a,BP,A,Low,14,a,NA,NA,1_14,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
123,trapnest_1,2023-05-22,1_15a,BP,A,Low,15,a,NA,NA,1_15,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
146,trapnest_1,2023-05-22,1_16a,BP,A,Low,16,a,91,141,1_16,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
169,trapnest_1,2023-05-22,1_17a,BP,A,Low,17,a,NA,NA,1_17,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
192,trapnest_1,2023-05-22,1_18a,BP,A,Low,18,a,NA,NA,1_18,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,142
216,trapnest_1,2023-05-23,1_1a,BP,A,Low,1,a,NA,NA,1_1,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
239,trapnest_1,2023-05-23,1_2a,BP,A,Low,2,a,NA,NA,1_2,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
262,trapnest_1,2023-05-23,1_3a,BP,A,Low,3,a,NA,NA,1_3,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
285,trapnest_1,2023-05-23,1_4a,BP,A,Low,4,a,NA,NA,1_4,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
308,trapnest_1,2023-05-23,1_5a,BP,A,Low,5,a,NA,NA,1_5,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
331,trapnest_1,2023-05-23,1_6a,BP,A,Low,6,a,NA,NA,1_6,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
354,trapnest_1,2023-05-23,1_7a,BP,A,Low,7,a,NA,NA,1_7,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
377,trapnest_1,2023-05-23,1_8a,BP,A,Low,8,a,NA,NA,1_8,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
400,trapnest_1,2023-05-23,1_9a,BP,A,Low,9,a,NA,NA,1_9,empty,none,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,143
