"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_meg","Meg_ps","Meg_no_ps","Meg_active_mothers","Day_of_year","Year"
"BP","AC","trapnest_81","High","81_2a","81_2a_2","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_3","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_4","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_5","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_6","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_7","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,2,2,173,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_10","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AC","trapnest_81","High","81_2a","81_2a_11","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AC","trapnest_81","High","81_7a","81_7a_1","last cell",1,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AC","trapnest_81","High","81_7a","81_7a_2","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
"BP","AC","trapnest_81","High","81_7a","81_7a_3","not last cell",0,2024-06-25,"megachile","relativa",0,"not parasitized","megachile",3,14,5,5,177,"year_2024"
