"","Date","Nest_ID","Trapnest","Site","Subsite","Treatment","Cavity_number","Straw_ID","Cavity_ID","Cell_ID","Cell_number","Filled_length_mm","Straw_length_mm","Status","Contains_cells","Occupant","Good_days","Bee_choice","Available_cavities_prior","New_nests_os","New_nests_meg","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Osmia_ps_no_iw","Osmia_no_ps_no_iw","Meg_ps_no_iw","Meg_no_ps_no_iw","New_nests_sum","Cumulative_par","Number_of_cells","Prop_cells_par","Cell_parasitized","Sealed","Nest_parasitized","Active_bin","Sum_unsealed_os_no_iw","Last_cell","Total_cells_per_date","Sum_cell_parasitized","Sum_cell_not_parasitized","Day_of_year"
"60",2023-05-31,"36_1a","trapnest_36","NN","L","High",1,"a","36_1","36_1a_2","2","86.14","144.22","5 cells",1,"osmia",2,NA,8,5,0,12,3,0,0,NA,4,0,0,5,0,6,0,0,"not sealed","not parasitized",1,4,0,5,0,5,151
"61",2023-05-31,"6_10a","trapnest_6","BP","B","High",10,"a","6_10","6_10a_1","1",NA,NA,"pseudo",NA,"osmia",2,NA,8,4,0,11.5,1.5,0,0,NA,4,0,0,4,0,5,0,0,NA,"not parasitized",NA,3,0,5,0,5,151
"62",2023-05-31,"7_14a","trapnest_7","BP","C","Low",14,"a","7_14","7_14a_3","3","138.07","138.07","6 cells",1,"osmia",2,NA,17,3,1,2,2,0,0,4,4,1,1,4,0,8,0,0,"not sealed","not parasitized",1,4,0,6,0,6,151
"63",2023-05-31,"8_12a","trapnest_8","BP","C","Mid",12,"a","8_12","8_12a_10","10","59.29","147.64","2 cells + end cap",1,"osmia",2,NA,11,0,0,7,4,0,0,NA,4,0,0,0,1,9,0.111111111111111,0,"sealed","parasitized",0,1,0,2,0,2,151
"64",2023-05-31,"9_9b","trapnest_9","BP","C","High",9,"b","9_9","9_9b_1","1","104.11","150.1","5 cells",1,"osmia",2,NA,8,1,0,10,1,0,0,NA,2,0,0,1,0,5,0,0,"not sealed","not parasitized",1,1,0,5,0,5,151
"65",2023-06-01,"20_15a","trapnest_20","NN","G","Mid",15,"a","20_15","20_15a_1","1","10.45","144.11","1 cell",1,"osmia",1,1,12,2,0,6.5,2.5,0,0,NA,4,0,0,2,0,1,0,0,"not sealed","not parasitized",1,1,1,1,0,1,152
"66",2023-06-01,"24_7b","trapnest_24","NN","H","High",7,"b","24_7","24_7b_1","1","70.92","140.17","3 cells",1,"osmia",1,1,7,1,0,11,1,0,0,NA,2,0,0,1,0,3,0,0,"not sealed","not parasitized",1,2,0,3,0,3,152
"67",2023-06-01,"25_13a","trapnest_25","NN","I","Low",13,"a","25_13","25_13a_10","10","108.83","148.8","4 cells",1,"osmia",1,NA,14,1,0,4,4,0,0,5,5,0,0,1,0,9,0,0,"not sealed","not parasitized",1,3,0,4,0,4,152
"68",2023-06-01,"29_1b","trapnest_29","NN","J","Mid",1,"b","29_1","29_1b_2","2","54.16","125.67","3 cells",1,"osmia",1,NA,13,1,0,5,1,0,0,NA,2,0,0,1,2,4,0.5,0,"not sealed","parasitized",1,1,0,3,2,1,152
"69",2023-06-01,"32_8b","trapnest_32","NN","K","Mid",8,"b","32_8","32_8b_1","1","17.37","61.84","2 cells + end cap",1,"osmia",1,1,11,1,0,7,4,0,0,NA,2,0,0,1,0,2,0,0,"sealed","not parasitized",0,1,0,2,0,2,152
