"","Trapnest","Date","Nest_ID","Site","Subsite","Treatment","Cavity_number","Straw_ID","Filled_length_mm","Straw_length_mm","Cavity_ID","Status","Occupant","Good_days","Bee_choice","Available_prior","New_nests_os","New_nests_meg","New_nest_sum","Osmia_ps_prior","Osmia_no_ps_prior","Meg_ps_prior","Meg_no_ps_prior","Cumulative_par","Number_of_cells","Prop_cells_par","Par_in_trapnest","Prop_filled"
"64","trapnest_12",2023-06-16,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",1,NA,6,0,0,0,12,7,0,0,0,14,0,7,0.808793670797451
"65","trapnest_12",2023-06-20,"12_5a","BP","D","High",5,"a",115.52,142.83,"12_5","no change","osmia",3,NA,6.5,2,0,2,11.5,6.5,0,0,0,14,0,7,0.808793670797451
"66","trapnest_12",2023-05-29,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","9 cells","osmia",1,1,6.5,2,0,2,11.5,1.5,0,0,0,9,0,3,0.723219254312743
"67","trapnest_12",2023-05-31,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","6 cells","osmia",2,NA,8.5,2,0,2,9.5,1.5,0,0,0,15,0,3,0.723219254312743
"68","trapnest_12",2023-06-02,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","no change","osmia",2,NA,7.5,2,0,2,10.5,3.5,0,0,0,15,0,5,0.723219254312743
"69","trapnest_12",2023-06-05,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","end cap","osmia",1,NA,7,0,0,0,11,5,0,0,0,15,0,5,0.723219254312743
"70","trapnest_12",2023-06-08,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","no change","osmia",2,NA,7,1,0,1,11,5,0,0,0,15,0,6,0.723219254312743
"71","trapnest_12",2023-06-10,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","no change","osmia",0,NA,7,0,0,0,11,6,0,0,0,15,0,6,0.723219254312743
"72","trapnest_12",2023-06-12,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","no change","osmia",1,NA,7,0,0,0,11,6,0,0,0,15,0,6,0.723219254312743
"73","trapnest_12",2023-06-14,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","no change","osmia",0,NA,7,1,0,1,11,6,0,0,0,15,0,7,0.723219254312743
"74","trapnest_12",2023-06-16,"12_6b","BP","D","High",6,"b",103.97,143.76,"12_6","no change","osmia",1,NA,6,0,0,0,12,7,0,0,0,15,0,7,0.723219254312743
"75","trapnest_12",2023-06-20,"12_6c","BP","D","High",6,"c",51.58,143.84,"12_6","1 cell","osmia",3,1,6.5,2,0,2,11.5,6.5,0,0,1,1,1,7,0.358592880978865
"76","trapnest_12",2023-06-23,"12_6c","BP","D","High",6,"c",51.58,143.84,"12_6","6 cells","osmia",3,NA,6,0,0,0,12,7,0,0,5,7,0.714285714285714,6,0.358592880978865
"77","trapnest_12",2023-06-29,"12_6c","BP","D","High",6,"c",51.58,143.84,"12_6","end cap","osmia",1,NA,6,1,0,1,12,7,0,0,5,7,0.714285714285714,7,0.358592880978865
"78","trapnest_12",2023-06-14,"12_9b","BP","D","High",9,"b",21.9,130.53,"12_9","2 cells","osmia",0,1,7,1,0,1,11,6,0,0,1,2,0.5,7,0.167777522408642
"79","trapnest_12",2023-06-16,"12_9b","BP","D","High",9,"b",21.9,130.53,"12_9","1 cells + end cap","osmia",1,NA,6,0,0,0,12,7,0,0,1,3,0.333333333333333,7,0.167777522408642
"80","trapnest_12",2023-06-20,"12_9b","BP","D","High",9,"b",21.9,130.53,"12_9","no change","osmia",3,NA,6.5,2,0,2,11.5,6.5,0,0,1,3,0.333333333333333,7,0.167777522408642
"81","trapnest_12",2023-06-23,"12_9b","BP","D","High",9,"b",21.9,130.53,"12_9","no change","osmia",3,NA,6,0,0,0,12,7,0,0,1,3,0.333333333333333,6,0.167777522408642
"82","trapnest_12",2023-06-29,"12_9b","BP","D","High",9,"b",21.9,130.53,"12_9","no change","osmia",1,NA,6,1,0,1,12,7,0,0,1,3,0.333333333333333,7,0.167777522408642
"83","trapnest_13",2023-06-05,"13_11a","BP","E","Low",11,"a",41.44,140.51,"13_11","3 cells","osmia",1,1,13.5,2,0,2,4.5,4.5,0,0,2,3,0.666666666666667,6,0.294925628069177
"84","trapnest_13",2023-06-09,"13_11a","BP","E","Low",11,"a",41.44,140.51,"13_11","1 cell","osmia",0,NA,17,0,0,0,1,1,0,0,3,4,0.75,1,0.294925628069177
