"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_os","Osmia_ps","Osmia_no_ps","Osmia_active_mothers","Day_of_year","Year"
"BP","F","trapnest_17","Mid","17_18a","17_18a_4","unknown",NA,2023-06-02,"parasite","small parasite",1,"parasitized","osmia",3,9,6,5,153,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_1","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_2","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_3","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_4","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_5","not last cell",0,2023-06-05,"osmia","pumila",0,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_6","not last cell",0,2023-06-05,"osmia","pumila",0,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_7","not last cell",0,2023-06-05,"osmia","pumila",0,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_8","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_9","not last cell",0,2023-06-05,"osmia","pumila",0,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_10","not last cell",0,2023-06-05,"parasite","sapyga",1,"parasitized","osmia",2,8,7,5,156,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_11","not last cell",0,2023-06-09,"osmia","pumila",0,"parasitized","osmia",0,7,6,4,160,"year_2023"
"BP","F","trapnest_17","Mid","17_9a","17_9a_12","last cell",1,2023-06-14,"parasite","sapyga",1,"parasitized","osmia",0,7,6,1,165,"year_2023"
"BP","F","trapnest_18","High","18_13a","18_13a_1","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",4,15,4,4,149,"year_2023"
"BP","F","trapnest_18","High","18_13a","18_13a_2","last cell",1,2023-05-29,"osmia","pumila",0,"parasitized","osmia",4,15,4,4,149,"year_2023"
"NN","G","trapnest_19","Low","19_8a","19_8a_1","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",1,2,2,1,149,"year_2023"
"NN","G","trapnest_19","Low","19_8a","19_8a_2","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",1,2,2,1,149,"year_2023"
"NN","G","trapnest_19","Low","19_8a","19_8a_3","last cell",1,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",1,2,2,1,149,"year_2023"
"NN","G","trapnest_19","Low","19_8b","19_8b_1","last cell",1,2023-06-04,"osmia","pumila",0,"not parasitized","osmia",1,1,1,1,155,"year_2023"
"NN","G","trapnest_19","Low","19_9a","19_9a_6","unknown",NA,2023-05-25,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,145,"year_2023"
"NN","G","trapnest_19","Low","19_9a","19_9a_7","unknown",NA,2023-05-25,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,145,"year_2023"
"NN","G","trapnest_19","Low","19_9a","19_9a_8","unknown",NA,2023-05-25,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,145,"year_2023"
"NN","G","trapnest_19","Low","19_9a","19_9a_9","unknown",NA,2023-05-25,"osmia",NA,0,"not parasitized","osmia",0,1,1,1,145,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_1","not last cell",0,2023-05-29,"osmia","pumila",0,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_2","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_3","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_4","not last cell",0,2023-05-29,"osmia","pumila",0,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_5","not last cell",0,2023-05-29,"osmia","pumila",0,"parasitized","osmia",2,8,2,2,149,"year_2023"
"NN","G","trapnest_20","Mid","20_2a","20_2a_6","not last cell",0,2023-05-29,"parasite","sapyga",1,"parasitized","osmia",2,8,2,2,149,"year_2023"
