Site,Subsite,Trapnest,Treatment,Cavity_size,Cavity_number,Straw_ID,Nest_ID,Cell_position,Date,Cell_occupant,Species_or_subtype,Collection,Sex,Comments
BP,AE,87,High,medium,2,b,87_2b,last cell,2024-07-02,pollen mass,,,,
BP,AE,87,High,medium,2,b,87_2b,not last cell,2024-06-28,megachile,relativa ,in collection,female,
BP,AE,87,High,medium,2,b,87_2b,not last cell,2024-06-28,mold,,,,
BP,AE,87,High,medium,2,b,87_2b,not last cell,2024-06-25,pollen mass,,,,
BP,AE,87,High,medium,2,b,87_2b,not last cell,2024-06-25,megachile,,,female,
BP,AE,87,High,medium,4,a,87_4a,last cell,2024-06-21,megachile,relativa,in collection,male,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,,,male,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,,,male,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,,,male,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,relativa,in collection,female,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,relativa,in collection,female,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,,,female,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,,,female,
BP,AE,87,High,medium,4,a,87_4a,not last cell,2024-06-21,megachile,,,female,
BP,AE,87,High,medium,5,a,87_5a,last cell,2024-07-26,unknown larva,,,,
BP,AE,87,High,medium,5,a,87_5a,not last cell,2024-07-22,megachile,pugnata,in collection,female,
BP,AE,87,High,medium,6,b,87_6b,last cell,2024-08-12,unknown larva,,,,
BP,AE,87,High,medium,6,b,87_6b,not last cell,2024-08-08,unknown larva,,,,
BP,AE,87,High,large,8,b,87_8b,last cell,2024-08-02,unknown larva,,,,
BP,AE,87,High,large,8,b,87_8b,not last cell,2024-07-29,pollen mass,,,,
BP,AE,87,High,large,8,b,87_8b,not last cell,2924-07-26,pollen mass,,,,
BP,AE,87,High,medium,11,b,87_11b,last cell,2024-07-08,empty,,,,
BP,AE,87,High,medium,11,b,87_11b,not last cell,2024-07-02,pollen mass,,,,
BP,AE,87,High,medium,12,a,87_12a,last cell,2024-07-02,empty,,,,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,megachile,relativa,in collection,male,
BP,AE,87,High,medium,12,a,87_12a,not last cell,2024-06-21,megachile,relativa,in collection,,
